State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,sex_ratio,literacy_rate
Assam,Dhemaji,27.58653343848582,94.71336908517353,308,686133,351249,334884,423028,1192,10410,211758,16504,228262,79107,138838,136371,80804,55399,28006,2868,521393,194984,95.34091200259644,61.65393589872517
Assam,Dibrugarh,27.30612284482757,95.0998282327587,310,1326335,676434,649901,884531,8817,34479,299852,77163,377015,143189,243607,301287,139813,89500,59380,6984,983760,340744,96.07751827968436,66.68986342062902
Assam,Goalpara,26.01727777777781,90.59869891598912,302,1008183,513292,494891,563577,1364,13524,228610,39504,268114,124700,213510,183904,73683,39885,18294,3464,657440,375071,96.4151009561809,55.90026810608788
Assam,Golaghat,26.377219709794485,93.8258339782347,313,1066888,543161,523727,721764,3073,17636,292893,34190,327083,117393,223902,261192,111145,66197,36887,4084,820800,258897,96.42205533902471,67.6513373475004
Assam,Hailakandi,24.45749608938549,92.59154664804475,318,659296,337890,321406,407366,1211,10615,159215,16202,175417,88596,177984,139029,50056,28504,11608,4265,500042,173306,95.12148924206103,61.78802844245984
Assam,Jorhat,26.76244824016563,94.30197722567289,312,1092256,556805,535451,794929,5651,26357,286330,80824,367154,99454,201680,295444,128050,97025,62608,8433,892694,209170,96.16490512836631,72.7786343128351
Assam,Kamrup,26.17093945205481,91.58863273972592,321,1517542,778461,739081,995319,3109,23468,390596,43849,434445,163849,290097,353861,154831,118849,55011,6444,1142942,392678,94.94130084872589,65.58757517090137
Assam,Karbi Anglong,26.08966454598031,93.11536570271832,314,956313,490167,466146,557214,1923,11340,215691,37185,252876,109324,212224,199289,93137,40602,18225,3426,676227,310093,95.09942529790867,58.26690633715113
Assam,Karimganj,24.69660712250711,92.3679498575498,317,1228686,625864,602822,795297,1933,24699,261945,32695,294640,198059,333885,257931,76685,39637,21408,7903,935508,303785,96.31836948602253,64.72744053403392
Assam,Kokrajhar,26.49724663573087,90.13997470997688,300,887142,452905,434237,489305,1218,14063,204896,17115,222011,116899,166013,154715,78788,39571,17287,2733,576006,340601,95.87816429494043,55.15520626912039
Assam,Lakhimpur,27.14128805970149,94.0775949253732,307,1042137,529674,512463,683486,1948,15011,293239,34694,327933,126950,212080,217497,107326,82885,44212,4731,795681,275677,96.7506428482425,65.58504304136596
Assam,Nagaon,26.264621706263515,92.9306191144708,305,2823768,1439112,1384656,1710716,5121,45956,674999,124186,799185,392616,638088,576214,199792,115864,66994,10351,1999919,873197,96.21599986658438,60.582739091880065
Assam,Nalbari,26.46323767605632,91.40598521126763,323,771639,396006,375633,531771,1631,12360,210706,28238,238944,75866,141690,192771,81507,71734,39368,3693,606629,188960,94.85538097907607,68.91447943921963
Assam,Sonitpur,26.73514926829268,92.85197804878044,306,1924110,983904,940206,1108572,4358,31254,483325,64528,547853,216097,416218,377653,141373,90385,49901,6412,1298039,627141,95.55871304517514,57.614793333021495
Assam,Tinsukia,27.535492911392414,95.69055949367085,309,1327929,680231,647698,798322,5135,27948,290704,90910,381614,150893,266717,276292,109805,61040,38152,7353,910252,417081,95.2173599850639,60.11782256430879
Bihar,Araria,26.21152811918061,87.30766554934816,209,2811569,1463333,1348236,1195768,2561,29796,659061,44213,703274,625357,426625,206161,112955,68177,39627,6938,1485840,1653766,92.13459957507963,42.530274021373835
Bihar,Aurangabad,24.774291867469877,84.45986024096379,235,2540073,1318684,1221389,1466002,2362,31168,428291,49006,477297,559512,482199,302662,253142,136783,91371,8329,1833998,784131,92.6218108356513,57.71495543632014
Bihar,Aurangabad,24.774291867469877,84.45986024096379,515,3701282,1924469,1776813,2503837,23258,69937,551789,427343,979132,381695,686271,422964,537936,310762,253253,19101,2611982,819734,92.32744201127687,67.64783121091557
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,235,2540073,1318684,1221389,1466002,2362,31168,428291,49006,477297,559512,482199,302662,253142,136783,91371,8329,1833998,784131,92.6218108356513,57.71495543632014
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,515,3701282,1924469,1776813,2503837,23258,69937,551789,427343,979132,381695,686271,422964,537936,310762,253253,19101,2611982,819734,92.32744201127687,67.64783121091557
Bihar,Banka,24.83235564202333,86.8664916342413,225,2034763,1067140,967623,965321,1704,22300,425604,18492,444096,408188,386707,196305,120653,63103,35767,3922,1214645,879831,90.67441947635737,47.44144649770023
Bihar,Begusarai,25.54302613168723,86.1256014403293,222,2970541,1567660,1402881,1548673,4644,43127,594377,139248,733625,577601,484502,291877,207136,144783,101836,14599,1822334,1242551,89.4888560019392,52.13437552284247
Bihar,Bhagalpur,25.27719288537548,87.04213814229243,224,3037766,1615663,1422103,1573066,6764,46929,522527,130634,653161,614644,524322,300767,247079,154643,118843,16119,1976417,1139715,88.01977887715445,51.78364627163514
Bihar,Bhojpur,25.50666439393939,84.49407803030304,231,2728407,1430380,1298027,1599151,3661,34658,434559,77368,511927,581580,605307,367059,313509,163303,131137,10630,2172525,1005140,90.74700429256562,58.61116028510409
Bihar,Buxar,25.48593018867924,84.08808081760995,232,1706352,887977,818375,989807,1784,19324,299252,35405,334657,331675,420187,256124,178044,89306,64117,5224,1344677,457814,92.16173391878392,58.00719898356259
Bihar,Darbhanga,26.14618771929825,85.97387352472099,215,3937385,2059949,1877436,1816634,6280,53205,907174,95539,1002713,672797,490534,332382,224622,152540,129597,26073,2028545,2203198,91.13992627972829,46.138084032930486
Bihar,Gaya,24.726654154727804,84.94291217765044,236,4391418,2266566,2124852,2297613,6856,57011,696289,111282,807571,902272,757690,447480,342254,191824,131163,12047,2784730,1953368,93.74763408610207,52.32052608064184
Bihar,Gopalganj,26.448743641618517,84.34636127167629,217,2562012,1267666,1294346,1382998,3707,33596,515925,38133,554058,540603,470828,291624,223776,123249,79109,7690,1736879,977719,102.10465532719186,53.98093373489273
Bihar,Jamui,24.78418380462726,86.26316298200514,238,1760405,916064,844341,858588,1839,22414,325909,30851,356760,420472,317612,153973,104211,56137,29633,3439,1085477,765297,92.17052520347923,48.77218594584769
Bihar,Jehanabad,25.15567904564316,84.9208124481328,239,1125313,585582,539731,618881,1106,11302,186660,28132,214792,211761,165906,117558,112966,68748,45519,3539,725997,495877,92.17001205638151,54.99634323961422
Bihar,Katihar,25.565653560371512,87.70466083591326,212,3071029,1600430,1470599,1280190,2941,27263,668232,69838,738070,472616,444260,237243,133811,88498,57114,11896,1445438,1705551,91.88774266915767,41.68602771253544
Bihar,Khagaria,25.53558891454964,86.56593256351037,223,1666886,883786,783100,768028,1580,21654,373696,21007,394703,350601,233494,130004,100555,65931,38697,5969,925251,903323,88.6074230639544,46.07561644887533
Bihar,Kishanganj,26.32433675832129,87.95045007235886,210,1690400,866970,823430,745056,1093,14073,401793,43357,445150,356401,235779,89025,42778,25989,15386,3761,769119,945397,94.97791157710186,44.07572172266919
Bihar,Lakhisarai,25.183449321266966,86.1282570135747,227,1000912,526345,474567,507270,1186,8862,175882,31763,207645,172076,149312,111684,85807,48001,27261,3814,597955,450967,90.16272596870874,50.68077912943396
Bihar,Madhepura,25.77341929460581,86.8978443983403,213,2001762,1047559,954203,834577,1397,23309,486278,24000,510278,340813,189431,114474,99437,79891,44955,6509,875510,1202278,91.0882346483587,41.692119242946966
Bihar,Madhubani,26.41380538172716,86.16328360450552,207,4487379,2329313,2158066,2155338,5319,65548,1047552,41234,1088786,783888,771417,520875,303114,170563,137780,11352,2698989,2003079,92.6481756638116,48.03111125670464
Bihar,Munger,25.19853796296297,86.54173672839504,226,1367765,729041,638724,801817,2653,17946,222281,85782,308063,226699,158699,146414,147152,101907,64469,4394,849734,498676,87.61153350771768,58.62242417374329
Bihar,Muzaffarpur,26.186644171779147,85.32745092024544,216,4801062,2527497,2273565,2509232,10290,73012,998694,120700,1119394,1092952,743623,419433,299475,194920,138916,14475,2903794,1924438,89.95322249640653,52.264103233826184
Bihar,Nalanda,25.229345508982053,85.48053113772461,229,2877653,1497060,1380593,1519933,4156,43848,514141,102522,616663,581978,486266,320839,274556,177358,133032,11159,1985188,1324385,92.22028509211387,52.818494794195125
Bihar,Nawada,24.825708836206907,85.61594568965519,237,2219146,1144668,1074478,1091012,1841,28411,379551,45323,424874,601011,368649,195072,161127,95943,64585,3130,1489517,1091439,93.86809100979498,49.163597167559054
Bihar,Patna,25.40297114503818,85.31984335877871,230,5838465,3078512,2759953,3459679,40692,132582,657991,552103,1210094,1244842,1095655,920051,698351,463361,452340,46126,4920726,2590473,89.65217611625357,59.25665393215511
Bihar,Purnia,25.81714801901739,87.40447606973066,211,3264619,1699370,1565249,1332326,4170,33664,712847,85749,798596,668690,360243,184327,119259,83226,59996,11116,1486857,1798786,92.10760458287483,40.81107167482637
Bihar,Rohtas,24.99170460829495,83.93507626728109,234,2959918,1543546,1416372,1799832,4594,36279,512383,95678,608061,535187,548971,399053,333053,194928,161555,16006,2188753,876443,91.7609193376809,60.806819648382145
